race_id,season,rows,model,global_ndcg,ndcg_at_3,mrr,map,map_at_3,precision_at_3
2026_1,2026,8,xgb_ranker,0.9965625860351044,0.9815301577539359,1.0,1.0,1.0,0.6666666666666666
2026_1,2026,8,lgbm_ranker,0.9885722231429149,0.9815301577539359,1.0,1.0,1.0,0.6666666666666666
2026_1,2026,8,qualifying_baseline,0.9972026465861442,0.9815301577539359,1.0,1.0,1.0,0.6666666666666666
2026_2,2026,12,xgb_ranker,0.9562101727662087,0.9949779845460548,0.0,1.0,1.0,1.0
2026_2,2026,12,lgbm_ranker,0.9594425426777262,0.9999999999999999,0.0,1.0,1.0,1.0
2026_2,2026,12,qualifying_baseline,0.9740804187908657,0.9999999999999999,0.0,1.0,1.0,1.0
2026_3,2026,13,xgb_ranker,0.9874999147014555,0.9636983293463768,0.0,1.0,1.0,0.6666666666666666
2026_3,2026,13,lgbm_ranker,0.9866261045263008,0.9636983293463768,0.0,1.0,1.0,0.6666666666666666
2026_3,2026,13,qualifying_baseline,0.9894765602606616,0.9845836782596581,0.0,1.0,1.0,1.0
2026_4,2026,14,xgb_ranker,0.881110838661281,0.7541750649479759,0.0,1.0,1.0,0.6666666666666666
2026_4,2026,14,lgbm_ranker,0.8839627685306561,0.7594248067427389,0.0,1.0,1.0,0.6666666666666666
2026_4,2026,14,qualifying_baseline,0.9198165583174297,0.8386655034208784,0.0,1.0,1.0,0.6666666666666666
2026_5,2026,14,xgb_ranker,0.6533906119945339,0.24931766508539957,0.0,1.0,1.0,0.3333333333333333
2026_5,2026,14,lgbm_ranker,0.655129739351539,0.24931766508539957,0.0,1.0,1.0,0.3333333333333333
2026_5,2026,14,qualifying_baseline,0.6558961531552738,0.24931766508539957,0.0,1.0,1.0,0.3333333333333333
2026_6,2026,14,xgb_ranker,0.6489691108171424,0.34074335445635373,0.0,1.0,1.0,0.3333333333333333
2026_6,2026,14,lgbm_ranker,0.6506713631925892,0.34074335445635373,0.0,1.0,1.0,0.3333333333333333
2026_6,2026,14,qualifying_baseline,0.6513366317187996,0.34074335445635373,0.0,1.0,1.0,0.3333333333333333
2026_7,2026,14,xgb_ranker,0.9797571654236876,0.9999999999999999,1.0,1.0,1.0,1.0
2026_7,2026,14,lgbm_ranker,0.9800048188880488,0.9999999999999999,1.0,1.0,1.0,1.0
2026_7,2026,14,qualifying_baseline,0.9732026053615015,0.9869133710178043,0.5,1.0,1.0,1.0
2026_8,2026,14,xgb_ranker,0.9322182995950327,0.8210037971400139,0.5,1.0,1.0,0.6666666666666666
2026_8,2026,14,lgbm_ranker,0.9322182995950327,0.8210037971400139,0.5,1.0,1.0,0.6666666666666666
2026_8,2026,14,qualifying_baseline,0.9638589508754435,0.8608349958678276,1.0,1.0,1.0,0.6666666666666666
